Path,Line,Pattern,Snippet
"Assets/ControlMaps/GamepadControls.cs",15,"Unity New Input System : \bUnityEngine\.InputSystem\b","using UnityEngine.InputSystem;"
"Assets/ControlMaps/GamepadControls.cs",16,"Unity New Input System : \bUnityEngine\.InputSystem\b","using UnityEngine.InputSystem.Utilities;"
"Assets/ControlMaps/GamepadControls.cs",29,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// using UnityEngine.InputSystem;"
"Assets/ControlMaps/GamepadControls.cs",271,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.bindingMask"" />"
"Assets/ControlMaps/GamepadControls.cs",278,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.devices"" />"
"Assets/ControlMaps/GamepadControls.cs",285,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.controlSchemes"" />"
"Assets/ControlMaps/GamepadControls.cs",288,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.Contains(InputAction)"" />"
"Assets/ControlMaps/GamepadControls.cs",294,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.GetEnumerator()"" />"
"Assets/ControlMaps/GamepadControls.cs",306,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.Enable()"" />"
"Assets/ControlMaps/GamepadControls.cs",312,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.Disable()"" />"
"Assets/ControlMaps/GamepadControls.cs",318,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.bindings"" />"
"Assets/ControlMaps/GamepadControls.cs",321,"Unity New Input System : \bUnityEngine\.InputSystem\b","/// <inheritdoc cref=""UnityEngine.InputSystem.InputActionAsset.FindAction(string, bool)"" />"
